T,error,integral,derivada,pwm
49.94,0.06,92.7,0.08,630.0
49.88,0.12,92.8,0.08,655.0
49.81,0.19,92.95,0.08,681.0
49.69,0.31,93.2,0.16,744.0
49.62,0.38,93.5,0.08,758.0
49.62,0.38,93.8,0.0,748.0
49.62,0.38,94.1,0.0,749.0
49.56,0.44,94.45,0.08,787.0
49.56,0.44,94.8,0.0,777.0
49.5,0.5,95.2,0.08,815.0
49.44,0.56,95.65,0.08,842.0
49.44,0.56,96.1,0.0,832.0
49.44,0.56,96.55,0.0,834.0
49.5,0.5,96.95,-0.08,799.0
49.56,0.44,97.3,-0.08,775.0
49.69,0.31,97.55,-0.16,714.0
49.81,0.19,97.7,-0.16,665.0
49.94,0.06,97.75,-0.16,615.0
50.06,-0.06,97.7,-0.16,565.0
50.19,-0.19,97.55,-0.16,514.0
50.25,-0.25,97.35,-0.08,500.0
50.38,-0.38,97.05,-0.16,437.0
50.44,-0.44,96.7,-0.08,423.0
50.44,-0.44,96.35,0.0,433.0
50.38,-0.38,96.05,0.08,468.0
50.38,-0.38,95.75,0.0,455.0
50.31,-0.31,95.5,0.08,491.0
50.25,-0.25,95.3,0.08,515.0
50.12,-0.12,95.2,0.16,577.0
50.12,-0.12,95.1,0.0,553.0
50.06,-0.06,95.05,0.08,589.0
50.06,-0.06,95.0,0.0,577.0
50.06,-0.06,94.95,0.0,577.0
50.0,0.0,94.95,0.08,614.0
50.0,0.0,94.95,0.0,602.0
49.94,0.06,95.0,0.08,639.0
49.88,0.12,95.1,0.08,665.0
49.69,0.31,95.35,0.23,764.0
49.62,0.38,95.65,0.08,767.0
49.56,0.44,96.0,0.08,793.0
49.5,0.5,96.4,0.08,820.0
49.44,0.56,96.85,0.08,847.0
49.5,0.5,97.65,0.0,813.0
49.56,0.44,98.0,-0.08,778.0
49.62,0.38,98.3,-0.08,754.0
49.69,0.31,98.55,-0.08,730.0
49.75,0.25,98.75,-0.08,706.0
49.88,0.12,98.85,-0.16,644.0
49.94,0.06,98.9,-0.08,631.0
49.88,0.12,99.0,0.08,680.0
49.88,0.12,99.1,0.0,669.0
49.88,0.12,99.2,0.0,669.0
49.88,0.12,99.3,0.0,670.0
49.88,0.12,99.4,0.0,670.0
49.94,0.06,99.45,-0.08,634.0
49.94,0.06,99.5,0.0,645.0
49.94,0.06,99.55,0.0,646.0
49.94,0.06,99.6,0.0,646.0
50.0,0.0,99.6,-0.08,609.0
50.06,-0.06,99.55,-0.08,584.0
50.12,-0.12,99.45,-0.08,559.0
50.06,-0.06,99.4,0.08,607.0
50.06,-0.06,99.35,0.0,595.0
50.06,-0.06,99.3,0.0,595.0
50.12,-0.12,99.2,-0.08,558.0
50.12,-0.12,99.1,0.0,569.0
50.19,-0.19,98.95,-0.08,532.0
50.25,-0.25,98.55,0.0,517.0
50.31,-0.31,98.3,-0.08,479.0
50.44,-0.44,97.95,-0.16,416.0
50.5,-0.5,97.55,-0.08,401.0
50.5,-0.5,97.15,0.0,411.0
50.56,-0.56,96.7,-0.08,373.0
50.56,-0.56,96.25,0.0,383.0
50.56,-0.56,95.8,0.0,381.0
50.56,-0.56,95.35,0.0,379.0
50.56,-0.56,94.9,0.0,377.0
50.5,-0.5,94.5,0.08,412.0
50.44,-0.44,94.15,0.08,436.0
50.44,-0.44,93.8,0.0,423.0
50.38,-0.38,93.5,0.08,458.0
50.31,-0.31,93.25,0.08,482.0
50.31,-0.31,93.0,0.0,470.0
50.31,-0.31,92.75,0.0,469.0
50.25,-0.25,92.55,0.08,504.0
50.19,-0.19,92.2,0.08,528.0
50.19,-0.19,92.05,0.0,516.0
50.06,-0.06,92.0,0.16,589.0
50.0,0.0,92.0,0.08,602.0
49.94,0.06,92.05,0.08,627.0
49.88,0.12,92.15,0.08,653.0
49.81,0.19,92.3,0.08,678.0
49.75,0.25,92.5,0.08,704.0
49.75,0.25,92.7,0.0,693.0
49.75,0.25,92.9,0.0,694.0
49.75,0.25,93.1,0.0,695.0
49.75,0.25,93.3,0.0,696.0
49.81,0.19,93.45,-0.08,660.0
49.81,0.19,93.6,0.0,672.0
49.81,0.19,93.75,0.0,673.0
49.81,0.19,93.9,0.0,673.0
49.81,0.19,94.05,0.0,674.0
49.81,0.19,94.2,0.0,674.0
49.81,0.19,94.35,0.0,675.0
49.88,0.12,94.45,-0.08,639.0
49.88,0.12,94.55,0.0,651.0
49.81,0.19,94.7,0.08,688.0
49.88,0.12,94.8,-0.08,640.0
49.94,0.06,94.85,-0.08,615.0
50.0,0.0,94.85,-0.08,590.0
50.12,-0.12,94.75,-0.16,528.0
50.12,-0.12,94.65,0.0,551.0
50.19,-0.19,94.5,-0.08,514.0
50.19,-0.19,94.35,0.0,525.0
50.19,-0.19,94.2,0.0,524.0
50.19,-0.19,94.05,0.0,524.0
50.19,-0.19,93.9,0.0,523.0
50.19,-0.19,93.75,0.0,523.0
50.25,-0.25,93.55,-0.08,485.0
50.25,-0.25,93.35,0.0,496.0
50.25,-0.25,93.15,0.0,495.0
50.31,-0.31,92.9,-0.08,457.0
50.31,-0.31,92.65,0.0,468.0
50.38,-0.38,92.35,-0.08,430.0
50.38,-0.38,92.05,0.0,441.0
50.38,-0.38,91.75,0.0,440.0
50.38,-0.38,91.45,0.0,438.0
50.31,-0.31,91.2,0.08,474.0
50.31,-0.31,90.95,0.0,461.0
50.31,-0.31,90.7,0.0,460.0
50.31,-0.31,90.2,0.0,458.0
50.25,-0.25,90.0,0.08,494.0
50.25,-0.25,89.8,0.0,482.0
50.25,-0.25,89.6,0.0,481.0
50.19,-0.19,89.45,0.08,517.0
50.25,-0.25,89.25,-0.08,468.0
50.25,-0.25,89.05,0.0,479.0
50.25,-0.25,88.85,0.0,478.0
50.19,-0.19,88.7,0.08,514.0
50.12,-0.12,88.6,0.08,539.0
50.12,-0.12,88.5,0.0,527.0
50.12,-0.12,88.4,0.0,526.0
50.12,-0.12,88.3,0.0,526.0
50.06,-0.06,88.25,0.08,562.0
50.12,-0.12,88.15,-0.08,513.0
50.06,-0.06,88.1,0.08,562.0
50.12,-0.12,88.0,-0.08,513.0
50.12,-0.12,87.9,0.0,524.0
50.12,-0.12,87.8,0.0,524.0
50.12,-0.12,87.7,0.0,523.0
50.06,-0.06,87.65,0.08,560.0
49.94,0.06,87.7,0.16,622.0
49.81,0.19,87.85,0.16,672.0
49.62,0.38,88.15,0.23,760.0
49.5,0.5,88.9,0.08,790.0
49.56,0.44,89.25,-0.08,743.0
49.56,0.44,89.6,0.0,756.0
49.5,0.5,90.0,0.08,794.0
49.5,0.5,90.4,0.0,784.0
49.62,0.38,90.7,-0.16,712.0
49.69,0.31,90.95,-0.08,700.0
49.75,0.25,91.15,-0.08,675.0
49.81,0.19,91.3,-0.08,651.0
49.88,0.12,91.4,-0.08,626.0
49.94,0.06,91.45,-0.08,602.0
49.94,0.06,91.5,0.0,614.0
50.0,0.0,91.5,-0.08,577.0
50.06,-0.06,91.45,-0.08,552.0
50.12,-0.12,91.35,-0.08,526.0
50.19,-0.19,91.2,-0.08,501.0
50.25,-0.25,91.0,-0.08,475.0
50.31,-0.31,90.75,-0.08,449.0
50.38,-0.38,90.45,-0.08,423.0
50.44,-0.44,90.1,-0.08,396.0
50.5,-0.5,89.7,-0.08,370.0
50.56,-0.56,89.25,-0.08,343.0
